Nama_Sekolah,Jenis,Status,Lat,Long,Jumlah_Siswa
SMA N 1 Payakumbuh,SMA,Negeri,-0.22483,100.65474,1.328
SMA N 2 Payakumbuh,SMA,Negeri,-0.24068,100.65231,1.321
SMA N 3 Payakumbuh,SMA,Negeri,-0.20689,100.64366,1.251
SMA N 4 Payakumbuh,SMA,Negeri,-0.23251,100.62426,998
SMA N 5 Payakumbuh,SMA,Negeri,-0.26795,100.60304,129
SMA N 1 Kec. Payakumbuh,SMA,Negeri,-0.17765,100.60354,231
SMK N 1 Payakumbuh,SMK,Negeri,-0.23745,100.61497,1.361
SMK N 2 Payakumbuh,SMK,Negeri,-0.24264,100.60781,1.744
SMK N 3 Payakumbuh,SMK,Negeri,-0.22903,100.65734,261
SMK N 4 Payakumbuh,SMK,Negeri,-0.21755,100.59966,682
MA N 1 Payakumbuh,MA,Negeri,-0.20656,100.61017,194
MA N 2 Payakumbuh,MA,Negeri,-0.23682,100.62072,403
MA N 3 Payakumbuh,MA,Negeri,-0.21935,100.65835,138
SMA IT Insan Cendekia Boarding School Payakumbuh,SMA,Swasta,-0.21177,100.62889,1.247
SMA Islam Raudhatul Jannah,SMA,Swasta,-0.21203,100.64186,239
SMA Muchtar Islamic Boarding School,SMA,Swasta,-0.23595,100.63958,271
SMA Nusantara Payakumbuh,SMA,Swasta,-0.23846,100.63032,72
SMA IT Al-Fath Payakumbuh,SMA,Swasta,-0.23471,100.62055,158
SMA PGRI Payakumbuh,SMA,Swasta,-0.22137,100.62936,62
SMA Al Furqon Islamic Boarding School,SMA,Swasta,-0.19026,100.60604,78
SMA Talent Madani Islamic School Payakumbuh,SMA,Swasta,-0.23342,100.61371,51
SMK 1 Tri Dharma Kosgoro Payakumbuh,SMK,Swasta,-0.23345,100.61371,225
SMK Kosgoro 2 Payakumbuh,SMK,Swasta,-0.21179,100.63803,214
SMK Wira Bhakti,SMK,Swasta,-0.23708,100.61229,11
SMK Taman Siswa,SMK,Swasta,-0.22327,100.63385,74
SMK Mitra Payakumbuh,SMK,Swasta,-0.23938,100.61213,145
MA S Muhammadiyah Pakan Sinayan,MA,Swasta,-0.21427,100.41171,55
